IDs,Organism,Position_F,Identity_F,Position_R,Identity_R,Position_Probe,Identity_Probe
CP179170.1,"Mycoplasmoides pneumoniae strain 90363.fasta chromosome, complete genome",243438->243462,100%,243542<-243562,100%,207932<-207953,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520661->520685,100%,326055<-326075,100%,258577<-258598,100%
,NA,NA,NA,520765<-520785,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CP178958.1,"Mycoplasmoides pneumoniae strain 87612.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520662->520686,100%,326058<-326078,100%,258581<-258602,100%
,NA,NA,NA,520766<-520786,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520721<-520742,100%
NZ_CP039764.1,"Mycoplasmoides pneumoniae strain 16-118 chromosome, complete genome",165939->165963,100%,166043<-166063,100%,130429<-130450,95%
,NA,181019->181043,100%,181123<-181143,100%,165998<-166019,100%
,NA,443350->443374,100%,248555<-248575,100%,181078<-181099,100%
,NA,NA,NA,443454<-443474,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443409<-443430,100%
NC_016807.1,"Mycoplasmoides pneumoniae 309, complete sequence",166022->166046,100%,166126<-166146,100%,130459<-130480,95%
,NA,179562->179586,100%,179666<-179686,100%,166081<-166102,100%
,NA,441630->441654,100%,246925<-246945,100%,179621<-179642,100%
,NA,NA,NA,441734<-441754,100%,246880<-246901,95%
,NA,NA,NA,NA,NA,441689<-441710,100%
NZ_CP010546.1,"Mycoplasmoides pneumoniae FH chromosome, complete genome",165987->166011,100%,166091<-166111,100%,130423<-130444,95%
,NA,179527->179551,100%,179631<-179651,100%,166046<-166067,100%
,NA,441577->441601,100%,246895<-246915,100%,179586<-179607,100%
,NA,NA,NA,441681<-441701,100%,246850<-246871,95%
,NA,NA,NA,NA,NA,441636<-441657,100%
CP179053.1,"Mycoplasmoides pneumoniae strain 88548.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207928<-207949,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520657->520681,100%,326054<-326074,100%,258579<-258600,100%
,NA,NA,NA,520761<-520781,100%,326009<-326030,95%
,NA,NA,NA,NA,NA,520716<-520737,100%
CP179095.1,"Mycoplasmoides pneumoniae strain 89192.fasta chromosome, complete genome",243439->243463,100%,243543<-243563,100%,207929<-207950,95%
,NA,258519->258543,100%,258623<-258643,100%,243498<-243519,100%
,NA,520664->520688,100%,326061<-326081,100%,258578<-258599,100%
,NA,NA,NA,520768<-520788,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CP017342.1,"Mycoplasmoides pneumoniae strain CO3 chromosome, complete genome",166006->166030,100%,166110<-166130,100%,130434<-130455,95%
,NA,179546->179570,100%,179650<-179670,100%,166065<-166086,100%
,NA,441716->441740,100%,246913<-246933,100%,179605<-179626,100%
,NA,NA,NA,441820<-441840,100%,246868<-246889,95%
,NA,NA,NA,NA,NA,441775<-441796,100%
CP179146.1,"Mycoplasmoides pneumoniae strain 89823.fasta chromosome, complete genome",243439->243463,100%,243543<-243563,100%,207929<-207950,95%
,NA,258519->258543,100%,258623<-258643,100%,243498<-243519,100%
,NA,520656->520680,100%,326053<-326073,100%,258578<-258599,100%
,NA,NA,NA,520760<-520780,100%,326008<-326029,95%
,NA,NA,NA,NA,NA,520715<-520736,100%
CP179061.1,"Mycoplasmoides pneumoniae strain 88591.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207929<-207950,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520659->520683,100%,326056<-326076,100%,258580<-258601,100%
,NA,NA,NA,520763<-520783,100%,326011<-326032,95%
,NA,NA,NA,NA,NA,520718<-520739,100%
CP039768.1,"Mycoplasmoides pneumoniae strain 15-982 chromosome, complete genome",165945->165969,100%,166049<-166069,100%,130429<-130450,95%
,NA,181025->181049,100%,181129<-181149,100%,166004<-166025,100%
,NA,443344->443368,100%,248573<-248593,100%,181084<-181105,100%
,NA,NA,NA,443448<-443468,100%,248528<-248549,95%
,NA,NA,NA,NA,NA,443403<-443424,100%
CP010542.1,"Mycoplasma pneumoniae 54089, complete genome",165933->165957,100%,166037<-166057,100%,130415<-130436,95%
,NA,181014->181038,100%,181118<-181138,100%,165992<-166013,100%
,NA,443409->443433,100%,248542<-248562,100%,181073<-181094,100%
,NA,NA,NA,443513<-443533,100%,248497<-248518,95%
,NA,NA,NA,NA,NA,443468<-443489,100%
CP039790.1,"Mycoplasmoides pneumoniae strain 10-980 chromosome, complete genome",165947->165971,100%,166051<-166071,100%,130431<-130452,95%
,NA,181027->181051,100%,181131<-181151,100%,166006<-166027,100%
,NA,443305->443329,100%,248560<-248580,100%,181086<-181107,100%
,NA,NA,NA,443409<-443429,100%,248515<-248536,95%
,NA,NA,NA,NA,NA,443364<-443385,100%
CP178996.1,"Mycoplasmoides pneumoniae strain 87916.fasta chromosome, complete genome",243443->243467,100%,243547<-243567,100%,207933<-207954,95%
,NA,258523->258547,100%,258627<-258647,100%,243502<-243523,100%
,NA,520667->520691,100%,326063<-326083,100%,258582<-258603,100%
,NA,NA,NA,520771<-520791,100%,326018<-326039,95%
,NA,NA,NA,NA,NA,520726<-520747,100%
CP179069.1,"Mycoplasmoides pneumoniae strain 88635.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207930<-207951,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520662->520686,100%,326059<-326079,100%,258581<-258602,100%
,NA,NA,NA,520766<-520786,100%,326014<-326035,95%
,NA,NA,NA,NA,NA,520721<-520742,100%
CP178992.1,"Mycoplasmoides pneumoniae strain 87870.fasta chromosome, complete genome",165934->165958,100%,166038<-166058,100%,130421<-130442,95%
,NA,181014->181038,100%,181118<-181138,100%,165993<-166014,100%
,NA,443413->443437,100%,248546<-248566,100%,181073<-181094,100%
,NA,NA,NA,443517<-443537,100%,248501<-248522,95%
,NA,NA,NA,NA,NA,443472<-443493,100%
CP039764.1,"Mycoplasmoides pneumoniae strain 16-118 chromosome, complete genome",165939->165963,100%,166043<-166063,100%,130429<-130450,95%
,NA,181019->181043,100%,181123<-181143,100%,165998<-166019,100%
,NA,443350->443374,100%,248555<-248575,100%,181078<-181099,100%
,NA,NA,NA,443454<-443474,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443409<-443430,100%
CP010546.1,"Mycoplasma pneumoniae FH, complete genome",165987->166011,100%,166091<-166111,100%,130423<-130444,95%
,NA,179527->179551,100%,179631<-179651,100%,166046<-166067,100%
,NA,441577->441601,100%,246895<-246915,100%,179586<-179607,100%
,NA,NA,NA,441681<-441701,100%,246850<-246871,95%
,NA,NA,NA,NA,NA,441636<-441657,100%
CP179042.1,"Mycoplasmoides pneumoniae strain 88249.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520661->520685,100%,326058<-326078,100%,258581<-258602,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
U00089.2,"Mycoplasma pneumoniae M129, complete genome",165980->166004,100%,166084<-166104,100%,130455<-130476,95%
,NA,181061->181085,100%,181165<-181185,100%,166039<-166060,100%
,NA,443278->443302,100%,248596<-248616,100%,181120<-181141,100%
,NA,NA,NA,443382<-443402,100%,248551<-248572,95%
,NA,NA,NA,NA,NA,443337<-443358,100%
NZ_CP039785.1,"Mycoplasmoides pneumoniae strain 10-1257 chromosome, complete genome",165965->165989,100%,166069<-166089,100%,130448<-130469,95%
,NA,181045->181069,100%,181149<-181169,100%,166024<-166045,100%
,NA,443167->443191,100%,248575<-248595,100%,181104<-181125,100%
,NA,NA,NA,443271<-443291,100%,248530<-248551,95%
,NA,NA,NA,NA,NA,443226<-443247,100%
CP179165.1,"Mycoplasmoides pneumoniae strain 90034.fasta chromosome, complete genome",165926->165950,100%,166030<-166050,100%,130416<-130437,95%
,NA,181006->181030,100%,181110<-181130,100%,165985<-166006,100%
,NA,443230->443254,100%,248555<-248575,100%,181065<-181086,100%
,NA,NA,NA,443334<-443354,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443289<-443310,100%
NZ_CP039775.1,"Mycoplasmoides pneumoniae strain 11-1384 chromosome, complete genome",166049->166073,100%,166153<-166173,100%,130362<-130383,95%
,NA,179589->179613,100%,179693<-179713,100%,166108<-166129,100%
,NA,441580->441604,100%,246960<-246980,100%,179648<-179669,100%
,NA,NA,NA,441684<-441704,100%,246915<-246936,95%
,NA,NA,NA,NA,NA,441639<-441660,100%
NZ_CP039771.1,"Mycoplasmoides pneumoniae strain 15-215 chromosome, complete genome",165861->165885,100%,165965<-165985,100%,130351<-130372,95%
,NA,180941->180965,100%,181045<-181065,100%,165920<-165941,100%
,NA,443181->443205,100%,248495<-248515,100%,181000<-181021,100%
,NA,NA,NA,443285<-443305,100%,248450<-248471,95%
,NA,NA,NA,NA,NA,443240<-443261,100%
CP008895.1,"Mycoplasma pneumoniae M29, complete genome",243438->243462,100%,243542<-243562,100%,207931<-207952,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520654->520678,100%,326052<-326072,100%,258577<-258598,100%
,NA,NA,NA,520758<-520778,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520713<-520734,100%
CP179046.1,"Mycoplasmoides pneumoniae strain 88375.fasta chromosome, complete genome",243443->243467,100%,243547<-243567,100%,207933<-207954,95%
,NA,258523->258547,100%,258627<-258647,100%,243502<-243523,100%
,NA,520663->520687,100%,326060<-326080,100%,258582<-258603,100%
,NA,NA,NA,520767<-520787,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520722<-520743,100%
CP179191.1,"Mycoplasmoides pneumoniae strain B2.fasta chromosome, complete genome",487164->487188,100%,487268<-487288,100%,451578<-451599,95%
,NA,500705->500729,100%,500809<-500829,100%,487223<-487244,100%
,NA,762858->762882,100%,568091<-568111,100%,500764<-500785,100%
,NA,NA,NA,762962<-762982,100%,568046<-568067,95%
,NA,NA,NA,NA,NA,762917<-762938,100%
NZ_CP155805.1,"Mycoplasmoides pneumoniae strain M129 chromosome, complete genome",165961->165985,100%,166065<-166085,100%,130451<-130472,95%
,NA,181041->181065,100%,181145<-181165,100%,166020<-166041,100%
,NA,443282->443306,100%,248574<-248594,100%,181100<-181121,100%
,NA,NA,NA,443386<-443406,100%,248529<-248550,95%
,NA,NA,NA,NA,NA,443341<-443362,100%
NZ_CP039781.1,"Mycoplasmoides pneumoniae strain 11-174 chromosome, complete genome",165977->166001,100%,166081<-166101,100%,130402<-130423,95%
,NA,179517->179541,100%,179621<-179641,100%,166036<-166057,100%
,NA,441496->441520,100%,246885<-246905,100%,179576<-179597,100%
,NA,NA,NA,441600<-441620,100%,246840<-246861,95%
,NA,NA,NA,NA,NA,441555<-441576,100%
NZ_CP039779.1,"Mycoplasmoides pneumoniae strain 11-473 chromosome, complete genome",165964->165988,100%,166068<-166088,100%,130454<-130475,95%
,NA,181045->181069,100%,181149<-181169,100%,166023<-166044,100%
,NA,443382->443406,100%,248633<-248653,100%,181104<-181125,100%
,NA,NA,NA,443486<-443506,100%,248588<-248609,95%
,NA,NA,NA,NA,NA,443441<-443462,100%
CP179169.1,"Mycoplasmoides pneumoniae strain 90362.fasta chromosome, complete genome",165932->165956,100%,166036<-166056,100%,130426<-130447,95%
,NA,181012->181036,100%,181116<-181136,100%,165991<-166012,100%
,NA,443144->443168,100%,248550<-248570,100%,181071<-181092,100%
,NA,NA,NA,443248<-443268,100%,248505<-248526,95%
,NA,NA,NA,NA,NA,443203<-443224,100%
CP169363.1,"Mycoplasmoides pneumoniae strain RU-CSP-B chromosome, complete genome",245140->245164,100%,245244<-245264,100%,209626<-209647,95%
,NA,260226->260250,100%,260330<-260350,100%,245199<-245220,100%
,NA,522398->522422,100%,327771<-327791,100%,260285<-260306,100%
,NA,NA,NA,522502<-522522,100%,327726<-327747,95%
,NA,NA,NA,NA,NA,522457<-522478,100%
NZ_CP039789.1,"Mycoplasmoides pneumoniae strain 10-1048 chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443273->443297,100%,248478<-248498,100%,180991<-181012,100%
,NA,NA,NA,443377<-443397,100%,248433<-248454,95%
,NA,NA,NA,NA,NA,443332<-443353,100%
CP178945.1,"Mycoplasmoides pneumoniae strain 87378.fasta chromosome, complete genome",243435->243459,100%,243539<-243559,100%,207925<-207946,95%
,NA,258515->258539,100%,258619<-258639,100%,243494<-243515,100%
,NA,520653->520677,100%,326050<-326070,100%,258574<-258595,100%
,NA,NA,NA,520757<-520777,100%,326005<-326026,95%
,NA,NA,NA,NA,NA,520712<-520733,100%
CP013829.1,"Mycoplasmoides pneumoniae strain S355, complete genome",165936->165960,100%,166040<-166060,100%,130426<-130447,95%
,NA,428088->428112,100%,233473<-233493,100%,165995<-166016,100%
,NA,NA,NA,428192<-428212,100%,233428<-233449,95%
,NA,NA,NA,NA,NA,428147<-428168,100%
NZ_CP020693.1,"Mycoplasmoides pneumoniae strain S91-tet-R chromosome, complete genome",165950->165974,100%,166054<-166074,100%,130429<-130450,95%
,NA,181030->181054,100%,181134<-181154,100%,166009<-166030,100%
,NA,443319->443343,100%,248563<-248583,100%,181089<-181110,100%
,NA,NA,NA,443423<-443443,100%,248518<-248539,95%
,NA,NA,NA,NA,NA,443378<-443399,100%
NZ_CP017336.1,"Mycoplasmoides pneumoniae strain GA3 chromosome, complete genome",165969->165993,100%,166073<-166093,100%,130399<-130420,95%
,NA,179509->179533,100%,179613<-179633,100%,166028<-166049,100%
,NA,441629->441653,100%,246909<-246929,100%,179568<-179589,100%
,NA,NA,NA,441733<-441753,100%,246864<-246885,95%
,NA,NA,NA,NA,NA,441688<-441709,100%
AP017318.1,"Mycoplasma pneumoniae DNA, complete genome, strain: KCH-402",165998->166022,100%,166102<-166122,100%,130422<-130443,95%
,NA,179538->179562,100%,179642<-179662,100%,166057<-166078,100%
,NA,441493->441517,100%,246929<-246949,100%,179597<-179618,100%
,NA,NA,NA,441597<-441617,100%,246884<-246905,95%
,NA,NA,NA,NA,NA,441552<-441573,100%
CM152630.1,"Mycoplasmoides pneumoniae strain TWMP555_2025 isolate MP555_2025 chromosome, complete sequence, whole genome shotgun sequence",165921->165945,100%,166025<-166045,100%,130410<-130431,95%
,NA,181003->181027,100%,181108<-181128,100%,165980<-166001,100%
,NA,443374->443398,100%,248546<-248566,100%,181063<-181084,100%
,NA,NA,NA,443478<-443498,100%,248501<-248522,95%
,NA,NA,NA,NA,NA,443433<-443454,100%
CM152634.1,"Mycoplasmoides pneumoniae strain TWMP778_2025 isolate MP778_2025 chromosome, complete sequence, whole genome shotgun sequence",165946->165970,100%,166051<-166071,100%,130439<-130460,95%
,NA,181029->181053,100%,181134<-181154,100%,166006<-166027,100%
,NA,443435->443459,100%,248582<-248602,100%,181089<-181110,100%
,NA,NA,NA,443539<-443559,100%,248537<-248558,95%
,NA,NA,NA,NA,NA,443494<-443515,100%
CP179108.1,"Mycoplasmoides pneumoniae strain 89233.fasta chromosome, complete genome",165950->165974,100%,166054<-166074,100%,130438<-130459,95%
,NA,181030->181054,100%,181134<-181154,100%,166009<-166030,100%
,NA,443353->443377,100%,248570<-248590,100%,181089<-181110,100%
,NA,NA,NA,443457<-443477,100%,248525<-248546,95%
,NA,NA,NA,NA,NA,443412<-443433,100%
NZ_CP017332.1,"Mycoplasmoides pneumoniae strain E16 chromosome, complete genome",165965->165989,100%,166069<-166089,100%,130451<-130472,95%
,NA,181046->181070,100%,181150<-181170,100%,166024<-166045,100%
,NA,443300->443324,100%,248576<-248596,100%,181105<-181126,100%
,NA,NA,NA,443404<-443424,100%,248531<-248552,95%
,NA,NA,NA,NA,NA,443359<-443380,100%
CP178928.1,"Mycoplasmoides pneumoniae strain 87314.fasta chromosome, complete genome",243431->243455,100%,243535<-243555,100%,207921<-207942,95%
,NA,258511->258535,100%,258615<-258635,100%,243490<-243511,100%
,NA,520650->520674,100%,326047<-326067,100%,258570<-258591,100%
,NA,NA,NA,520754<-520774,100%,326002<-326023,95%
,NA,NA,NA,NA,NA,520709<-520730,100%
CP179100.1,"Mycoplasmoides pneumoniae strain 89206.fasta chromosome, complete genome",243429->243453,100%,243533<-243553,100%,207919<-207940,95%
,NA,258509->258533,100%,258613<-258633,100%,243488<-243509,100%
,NA,520651->520675,100%,326048<-326068,100%,258568<-258589,100%
,NA,NA,NA,520755<-520775,100%,326003<-326024,95%
,NA,NA,NA,NA,NA,520710<-520731,100%
CP179027.1,"Mycoplasmoides pneumoniae strain 88083.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520660->520684,100%,326057<-326077,100%,258581<-258602,100%
,NA,NA,NA,520764<-520784,100%,326012<-326033,95%
,NA,NA,NA,NA,NA,520719<-520740,100%
CP179023.1,"Mycoplasmoides pneumoniae strain 88068.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207933<-207954,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520661->520685,100%,326058<-326078,100%,258580<-258601,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CM152638.1,"Mycoplasmoides pneumoniae strain TWMP747_2025 isolate MP747_2025 chromosome, complete sequence, whole genome shotgun sequence",165986->166010,100%,166090<-166110,100%,130472<-130493,95%
,NA,181069->181093,100%,181174<-181194,100%,166045<-166066,100%
,NA,443462->443486,100%,248621<-248641,100%,181129<-181150,100%
,NA,NA,NA,443566<-443586,100%,248576<-248597,95%
,NA,NA,NA,NA,NA,443521<-443542,100%
AP035799.1,"Mycoplasmoides pneumoniae TA9309 DNA, complete genome",165957->165981,100%,166061<-166081,100%,130434<-130455,95%
,NA,179497->179521,100%,179601<-179621,100%,166016<-166037,100%
,NA,441615->441639,100%,246862<-246882,100%,179556<-179577,100%
,NA,NA,NA,441719<-441739,100%,246817<-246838,95%
,NA,NA,NA,NA,NA,441674<-441695,100%
CP179008.1,"Mycoplasmoides pneumoniae strain 87976.fasta chromosome, complete genome",243433->243457,100%,243537<-243557,100%,207923<-207944,95%
,NA,258513->258537,100%,258617<-258637,100%,243492<-243513,100%
,NA,520652->520676,100%,326047<-326067,100%,258572<-258593,100%
,NA,NA,NA,520756<-520776,100%,326002<-326023,95%
,NA,NA,NA,NA,NA,520711<-520732,100%
CP179127.1,"Mycoplasmoides pneumoniae strain 89422.fasta chromosome, complete genome",243437->243461,100%,243541<-243561,100%,207925<-207946,95%
,NA,258517->258541,100%,258621<-258641,100%,243496<-243517,100%
,NA,520650->520674,100%,326046<-326066,100%,258576<-258597,100%
,NA,NA,NA,520754<-520774,100%,326001<-326022,95%
,NA,NA,NA,NA,NA,520709<-520730,100%
AP035795.1,"Mycoplasmoides pneumoniae TA7396 DNA, complete genome",166021->166045,100%,166125<-166145,100%,130447<-130468,95%
,NA,179561->179585,100%,179665<-179685,100%,166080<-166101,100%
,NA,441506->441530,100%,246920<-246940,100%,179620<-179641,100%
,NA,NA,NA,441610<-441630,100%,246875<-246896,95%
,NA,NA,NA,NA,NA,441565<-441586,100%
CP179000.1,"Mycoplasmoides pneumoniae strain 87938.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520654->520678,100%,326051<-326071,100%,258581<-258602,100%
,NA,NA,NA,520758<-520778,100%,326006<-326027,95%
,NA,NA,NA,NA,NA,520713<-520734,100%
CP179004.1,"Mycoplasmoides pneumoniae strain 87958.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207931<-207952,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520661->520685,100%,326058<-326078,100%,258580<-258601,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CP179123.1,"Mycoplasmoides pneumoniae strain 89339.fasta chromosome, complete genome",243435->243459,100%,243539<-243559,100%,207925<-207946,95%
,NA,258515->258539,100%,258619<-258639,100%,243494<-243515,100%
,NA,520652->520676,100%,326049<-326069,100%,258574<-258595,100%
,NA,NA,NA,520756<-520776,100%,326004<-326025,95%
,NA,NA,NA,NA,NA,520711<-520732,100%
CP017327.1,"Mycoplasmoides pneumoniae strain FH 2009 chromosome, complete genome",165985->166009,100%,166089<-166109,100%,130422<-130443,95%
,NA,179525->179549,100%,179629<-179649,100%,166044<-166065,100%
,NA,441647->441671,100%,246893<-246913,100%,179584<-179605,100%
,NA,NA,NA,441751<-441771,100%,246848<-246869,95%
,NA,NA,NA,NA,NA,441706<-441727,100%
CP179130.1,"Mycoplasmoides pneumoniae strain 89468.fasta chromosome, complete genome",165936->165960,100%,166040<-166060,100%,130418<-130439,95%
,NA,181016->181040,100%,181120<-181140,100%,165995<-166016,100%
,NA,443246->443270,100%,248498<-248518,100%,181075<-181096,100%
,NA,NA,NA,443350<-443370,100%,248453<-248474,95%
,NA,NA,NA,NA,NA,443305<-443326,100%
CP020691.1,"Mycoplasmoides pneumoniae strain S68-tet-R chromosome, complete genome",165946->165970,100%,166050<-166070,100%,130427<-130448,95%
,NA,181026->181050,100%,181130<-181150,100%,166005<-166026,100%
,NA,443298->443322,100%,248557<-248577,100%,181085<-181106,100%
,NA,NA,NA,443402<-443422,100%,248512<-248533,95%
,NA,NA,NA,NA,NA,443357<-443378,100%
CP017334.1,"Mycoplasmoides pneumoniae strain K27 chromosome, complete genome",165965->165989,100%,166069<-166089,100%,130385<-130406,95%
,NA,179506->179530,100%,179610<-179630,100%,166024<-166045,100%
,NA,441395->441419,100%,246887<-246907,100%,179565<-179586,100%
,NA,NA,NA,441499<-441519,100%,246842<-246863,95%
,NA,NA,NA,NA,NA,441454<-441475,100%
CP179017.1,"Mycoplasmoides pneumoniae strain 88035.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207930<-207951,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520661->520685,100%,326058<-326078,100%,258579<-258600,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CP179134.1,"Mycoplasmoides pneumoniae strain 89620.fasta chromosome, complete genome",165928->165952,100%,166032<-166052,100%,130416<-130437,95%
,NA,181008->181032,100%,181112<-181132,100%,165987<-166008,100%
,NA,443235->443259,100%,248560<-248580,100%,181067<-181088,100%
,NA,NA,NA,443339<-443359,100%,248515<-248536,95%
,NA,NA,NA,NA,NA,443294<-443315,100%
CP010538.1,"Mycoplasma pneumoniae PI 1428, complete genome",165945->165969,100%,166049<-166069,100%,130427<-130448,95%
,NA,181025->181049,100%,181129<-181149,100%,166004<-166025,100%
,NA,443325->443349,100%,248558<-248578,100%,181084<-181105,100%
,NA,NA,NA,443429<-443449,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443384<-443405,100%
CP017330.1,"Mycoplasmoides pneumoniae strain 549 chromosome, complete genome",165959->165983,100%,166063<-166083,100%,130432<-130453,95%
,NA,181039->181063,100%,181143<-181163,100%,166018<-166039,100%
,NA,443372->443396,100%,248569<-248589,100%,181098<-181119,100%
,NA,NA,NA,443476<-443496,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443431<-443452,100%
CP017338.1,"Mycoplasmoides pneumoniae strain 1134 chromosome, complete genome",165983->166007,100%,166087<-166107,100%,130398<-130419,95%
,NA,179513->179537,100%,179617<-179637,100%,166042<-166063,100%
,NA,441531->441555,100%,246885<-246905,100%,179572<-179593,100%
,NA,NA,NA,441635<-441655,100%,246840<-246861,95%
,NA,NA,NA,NA,NA,441590<-441611,100%
CP179117.1,"Mycoplasmoides pneumoniae strain 89307.fasta chromosome, complete genome",165962->165986,100%,166066<-166086,100%,130452<-130473,95%
,NA,181042->181066,100%,181146<-181166,100%,166021<-166042,100%
,NA,443360->443384,100%,248625<-248645,100%,181101<-181122,100%
,NA,NA,NA,443464<-443484,100%,248580<-248601,95%
,NA,NA,NA,NA,NA,443419<-443440,100%
CP179030.1,"Mycoplasmoides pneumoniae strain 88184.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207932<-207953,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520662->520686,100%,326059<-326079,100%,258580<-258601,100%
,NA,NA,NA,520766<-520786,100%,326014<-326035,95%
,NA,NA,NA,NA,NA,520721<-520742,100%
NZ_CP017329.1,"Mycoplasmoides pneumoniae strain E57 chromosome, complete genome",165961->165985,100%,166065<-166085,100%,130397<-130418,95%
,NA,179501->179525,100%,179605<-179625,100%,166020<-166041,100%
,NA,441545->441569,100%,246863<-246883,100%,179560<-179581,100%
,NA,NA,NA,441649<-441669,100%,246818<-246839,95%
,NA,NA,NA,NA,NA,441604<-441625,100%
NZ_AP035797.1,"Mycoplasmoides pneumoniae strain TA9171 chromosome, complete genome",165943->165967,100%,166047<-166067,100%,130426<-130447,95%
,NA,181023->181047,100%,181127<-181147,100%,166002<-166023,100%
,NA,443174->443198,100%,248510<-248530,100%,181082<-181103,100%
,NA,NA,NA,443278<-443298,100%,248465<-248486,95%
,NA,NA,NA,NA,NA,443233<-443254,100%
CM152627.1,"Mycoplasmoides pneumoniae strain TWMP191_2025 isolate MP191_2025 chromosome, complete sequence, whole genome shotgun sequence",165955->165979,100%,166060<-166080,100%,130443<-130464,95%
,NA,181038->181062,100%,181143<-181163,100%,166015<-166036,100%
,NA,443419->443443,100%,443523<-443543,100%,181098<-181119,100%
,NA,NA,NA,NA,NA,443478<-443499,100%
CP178933.1,"Mycoplasmoides pneumoniae strain 87325.fasta chromosome, complete genome",243430->243454,100%,243534<-243554,100%,207922<-207943,95%
,NA,258510->258534,100%,258614<-258634,100%,243489<-243510,100%
,NA,520646->520670,100%,326043<-326063,100%,258569<-258590,100%
,NA,NA,NA,520750<-520770,100%,325998<-326019,95%
,NA,NA,NA,NA,NA,520705<-520726,100%
CP178937.1,"Mycoplasmoides pneumoniae strain 87335.fasta chromosome, complete genome",243438->243462,100%,243542<-243562,100%,207930<-207951,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520657->520681,100%,326054<-326074,100%,258577<-258598,100%
,NA,NA,NA,520761<-520781,100%,326009<-326030,95%
,NA,NA,NA,NA,NA,520716<-520737,100%
CP179038.1,"Mycoplasmoides pneumoniae strain 88241.fasta chromosome, complete genome",165939->165963,100%,166043<-166063,100%,130429<-130450,95%
,NA,181019->181043,100%,181123<-181143,100%,165998<-166019,100%
,NA,443351->443375,100%,248558<-248578,100%,181078<-181099,100%
,NA,NA,NA,443455<-443475,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443410<-443431,100%
NZ_AP035793.1,"Mycoplasmoides pneumoniae strain TA6350 chromosome, complete genome",165959->165983,100%,166063<-166083,100%,130439<-130460,95%
,NA,181039->181063,100%,181143<-181163,100%,166018<-166039,100%
,NA,443346->443370,100%,248575<-248595,100%,181098<-181119,100%
,NA,NA,NA,443450<-443470,100%,248530<-248551,95%
,NA,NA,NA,NA,NA,443405<-443426,100%
CP178956.1,"Mycoplasmoides pneumoniae strain 87457.fasta chromosome, complete genome",243431->243455,100%,243535<-243555,100%,207921<-207942,95%
,NA,258511->258535,100%,258615<-258635,100%,243490<-243511,100%
